127.0.0.1 - - [23/Dec/2019:10:52:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/ HTTP/1.1" 200 19215
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/pogo-slider.min.css HTTP/1.1" 200 34179
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/responsive.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/style.css HTTP/1.1" 200 14584
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/custom.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/popper.min.js HTTP/1.1" 200 20495
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/bootstrap.min.js HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/animate.css HTTP/1.1" 200 56693
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/css/magnific-popup.css HTTP/1.1" 200 7782
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/jquery.pogo-slider.min.js HTTP/1.1" 200 27639
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/slider-index.js HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/smoothscroll.js HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/form-validator.min.js HTTP/1.1" 200 6055
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/contact-form-script.js HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/js/custom.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/images/health.jpg HTTP/1.1" 200 153141
0:0:0:0:0:0:0:1 - - [23/Dec/2019:10:52:39 +0800] "GET /login_demo/images/icon.png HTTP/1.1" 200 5385
